Manufacturer,Part Number,MPN,Description
Fagor,8889100,12008914,DRAIN VALVE 2
Fagor,8864975,12008915,UPPER LID 55
Fagor,8848353,12008917,"TOBERA 1,85 COCINA ASBER"
Fagor,8886508,12008918,D8 KNOB EUROSIT
Fagor,8867634,12008920,STAINLESS GRILL IN U-00 G9
Fagor,8853953,12008921,NUT M.28
Fagor,8891757,12008922,LOCK NUT
Fagor,8837434,12008925,CL 8 CONTROL BUTTON
Fagor,8832098,12008926,10 COMMAND BUTTON
Fagor,8834744,12008927,CONTROL KNOB D.10
Fagor,8851150,12008928,D8 CONTROL BUTTON
Fagor,8856740,12008929,VAR-HGC WIRING BLEW 20-21
Fagor,8834745,12008932,COVER MINISIT 903.052
Fagor,8897214,12008934,FASTENING FLANGE BULB
Fagor,8878457,12008938,INJECTOR 0.4 GN.
Fagor,8872948,12008939,"COMPLETE NOZZLE D1, 25"
Fagor,8897215,12008940,SEAL EDESA
Fagor,8834746,12008943,FI-160 ADHESIVE COVER
Fagor,8867635,12008944,COPLER 3/8 PUL
Fagor,8837435,12008946,HOOK SUPPORT ELEMENT
Fagor,8872949,12008947,TUBO DESINCRUSTANTE
Fagor,8862273,12008948,GRO-600 COMMAND BUTTON
Fagor,8872950,12008950,TUBO ENTRADA A DESAGE
Fagor,8851151,12008951,SLEEVE 1/2 958.027
Fagor,8840130,12008952,CONTRAPESO
Fagor,8845610,12008954,PAN BURNER BASCUL.AD
Fagor,8897216,12008955,KNOB M6 (ELESA-REF. 23 901)
Fagor,8834747,12008957,BUTTON CONTROL D8 ASPES
Fagor,8837436,12008959,GAS RANGE RANGE BUTTON ASPES
Fagor,8853954,12008960,SUPERIOR PILOTO ASPES
Fagor,8875669,12008961,"0 NOZZLE, 90"
Fagor,8883850,12008963,ROLLER DOOR LOCK
Fagor,8875670,12008964,PLUG 972.061
Fagor,8851152,12008965,RACK COMP. STEELG900 (2008
Fagor,8883851,12008967,6 KNOB ENTR.WATER
Fagor,8848354,12008968,FRY CONTROL KNOB-TOP SNACK
Fagor,8889101,12008971,D10 BOILING PAN CONTROL BUTTON
Fagor,8872951,12008972,6 KNOB ENTR.WATER
Fagor,8872952,12008974,VAINA CIERRE SONDA
Fagor,8859589,12008976,RESET BUTTON WIRING
Fagor,8853955,12008977,TUBE EUROSIT OUT
Fagor,8894584,12008978,"BY-PASS 2,20 GRIFO SC. PEL-23"
Fagor,8862274,12008979,BRASS PEEPHOLE HOLDER
Fagor,8848355,12008980,BODY OF TANK CPG-705
Fagor,8859590,12008981,DOOR GLASS PEEPHOLE
Fagor,8851153,12008993,FAGOR SHIELD G700
Fagor,8842873,12008994,SPARK PLUG 915 037
Fagor,8853956,12008995,BOTON MANDO8 EUROSIT ASPES
Fagor,8851154,12008996,LID HANDLE
Fagor,8862275,12008997,INJECTOR NOZZLE NATURAL +
Fagor,8834748,12008998,HINGE GUIDE
Fagor,8872953,12009001,BOILING PAN COMP. CONTROL BUTT
Fagor,8845611,12009002,ELECTROVALVE FG08 220V 50HZ
Fagor,8897217,12009003,ELECTROVALVE BM 08
Fagor,8848356,12009004,CONTROL MONT.COOKING ELECT.D =
Fagor,8853957,12009005,GAS COOKING CONTROL 8 MONT
Fagor,8851155,12009006,FRIER COMP. CONTROL BUTTON
Fagor,8899991,12009007,"Control Knob, Electric Cooker, Settings 1-8"
Fagor,8834749,12009008,MONT.FREID.ELECTR.D CONTROL =
Fagor,8899992,12009010,FAGOR SHIELD
Fagor,8851156,12009011,CONTROL D = 6 ENT. WATER
Fagor,8894585,12009013,CONTROL BUTTON COMP. BOILING P
Fagor,8878458,12009014,KNOB CONTROL. FRYING. GAS D =
Fagor,8842874,12009015,FAGOR EMBLEM
Fagor,8853958,12009017,OVEN NOZZLE HOLDER
Fagor,8889102,12009018,FLAT PLATE
Fagor,8834750,12009021,MONT CONTROL. PAELLA GAS D = 8
Fagor,8875671,12009022,PLANCHA LISA FTE9-10
Fagor,8872954,12009028,BRASS DRAIN 1
Fagor,8853959,12009030,LID SPRING
Fagor,8889103,12009031,NOZZLE HOLDER
Fagor,8864976,12009033,DOOR MAGNET
Fagor,8872955,12009036,STAINLESS STEEL GRID G700
Fagor,8867636,12009039,CONTROL D = 6 (SWITCH-BOARD) A
Fagor,8862276,12009041,BOTON MANDO MARMI D10 ASPES
Fagor,8840131,12009044,NOZZLE HOLDER OVEN
Fagor,8840132,12009047,IRON CR. FTE-705 HARD
Fagor,8832099,12009049,WATER CONTROL COMP. CP900 (08)
Fagor,8851157,12009052,PROTECTOR ASBER G700
Fagor,8848357,12009055,EJE ANTERIOR GUIAS
Fagor,8853960,12009056,TOPE PUERTA
Fagor,8832100,12009057,BUTTON CONTROL 6 FE-700 ASPES
Fagor,8840133,12009058,SPARK PLUG WIRE-4 FIRE: CG9-41
Fagor,8878459,12009059,WASH WIRING 061-101
Fagor,8842875,12009060,SPARK PLUG
Fagor,8894586,12009064,BLACK EXTENSION ADAPTER 999.97
Fagor,8856741,12009065,UPPER BURNER. COMP. PAELLA
Fagor,8897218,12009067,BULON GIRO-SARTEN
Fagor,8872956,12009071,TERMOPAR COCINA ASBER
Fagor,8851158,12009073,SHIELD ASBER
Fagor,8872957,12009074,LISA STRIPED IRON-10 FTE9
Fagor,8867637,12009075,BODY WITHOUT FITT. (INJ. D 0.4
Fagor,8899993,12009076,BODY OF PILOT WITH COUPLING
Fagor,8878460,12009077,IRON FTE/C9-05-L
Fagor,8840134,12009083,AUX WIRING. AD 48.64 CLINIC
Fagor,8840135,12009087,PLATE-PRYING LEVER
